college,percentage,Location,Stream
"A.R.Fule Junior College Of Arts,Comm & Scince, Shanti Nagar, Nagpur (Marathi Medium) (Unaided)",36,Nagpur,Arts
"Dr. M.K.Umathe College , Bhamti Ring Road, Nagpur (Marathi Medium) (Aided)",36,Nagpur,Arts
"Smt. Annpurnabai Deshmukh High.Sec. School, Behind Harihar Mandir, Lakdaganj, Nagpur (Marathi Medium) (Aided)",35.8,Nagpur,Arts
"C.P. & Berar Jr.College, Tulsibag Road, Nagpur (Marathi Medium) (Aided)",35.8,Nagpur,Arts
"Shri Dadasaheb Dhanwatey Nagar High.Sec.School, Mahal, Nagpur (Marathi Medium) (Aided)",35.8,Nagpur,Arts
"Abhinandan High. Sec. School, Bapu Nagar, Umred Road, Nagpur (Marathi Medium) (Aided)",35.6,Nagpur,Arts
"Navpratibha High.Sec. School, Siraspeth, Umred Road, Nagpur (Marathi Medium) (Aided)",35.6,Nagpur,Arts
"Bhide Girls High.Sec. School, Netaji Market, Sitabuldi, Nagpur (Marathi Medium) (Aided)",35.6,Nagpur,Arts
"Mahatma Gandhi Jr College, Shantinagar, Nagpur (English Medium) (Self Finance)",35.6,Nagpur,Arts
Vishwas Junior College (Marathi Medium) (Unaided),35.6,Nagpur,Arts
"Vmv Commerce Jmt Arts & Jjp Science Jr. College, Wardhman Nagar, Nagpur (Marathi Medium) (Aided)",35.6,Nagpur,Arts
"Dayanand Arya Kanya High.Sec. School, Jaripatka, Nagpur (Hindi Medium) (Aided)",35.4,Nagpur,Arts
Sarwashree Junior College (Marathi Medium) (Unaided),35.4,Nagpur,Arts
"Sheshrao Kohale High. Sec. School, Bhamti, Nagpur (Marathi Medium) (Aided)",35.4,Nagpur,Arts
"Dr Madhukarrao Wasnik P.W.S. Jr. College Of Arts & Comm. Kamptee Road, Nagpur (Hindi Medium) (Aided)",35.4,Nagpur,Arts
"Rajkumar Kewalramani High.Sec.School, Sai Vasan Shaha Chowk, Jaripatka, Nagpur (Hindi Medium) (Aided)",35.4,Nagpur,Arts
"Sainath Vidya Mandir High.Sec.School, Pragati Nagar, Near Bhagwan Nagar, Nagpur (Marathi Medium) (Aided)",35.2,Nagpur,Arts
"Dhanwate National College, Congress Nagar, Nagpur (Marathi Medium) (Aided)",35.2,Nagpur,Arts
"Dr Madhukarrao Wasnik P.W.S. Jr. College Of Arts & Comm. Kamptee Road, Nagpur (Marathi Medium) (Aided)",35.2,Nagpur,Arts
"M.P.Deo Smriti Lokanchi Shala High.Sec. School, Siraspeth, Nagpur (Marathi Medium) (Aided)",35,Nagpur,Arts
Bharat Mahila Junior College (Marathi Medium) (Aided),35,Nagpur,Arts
"Vmv Commerce Jmt Arts & Jjp Science Jr. College, Wardhman Nagar, Nagpur (Hindi Medium) (Aided)",35,Nagpur,Arts
,,,
Shri Chhatrapati Shivaji Secondary Andhigh School Vidhyalay (Marathi Medium) (Aided),53.4,Nashik,Arts
Anglo Urdu High Sch Ns Rd (Urdu Medium) (Unaided),44.4,Nashik,Arts
The Indian Public School And Junior College (English Medium) (Self Finance),43,Nashik,Arts
Dhanlaxmi Uccha Madhyamik Vidyalay (Marathi Medium) (Self Finance),42.8,Nashik,Arts
Gramoday Secondary And Higher Secondary School (Marathi Medium) (Aided),41.8,Nashik,Arts
Ambrosia English School And Junior College (English Medium) (Self Finance),39.4,Nashik,Arts
Purshottam English School Aani Arambha Mahavidyalay (Marathi Medium) (Aided),39.4,Nashik,Arts
Gramoday Secondary And Higher Secondary School (Marathi Medium) (Unaided),39,Nashik,Arts
Yews National High School For Boys And Junior College Nasik (Urdu Medium) (Aided),38.8,Nashik,Arts
Shri Dayabhai Devasi Bytco Boys High School And Jr College Nashik (Marathi Medium) (Aided),38.2,Nashik,Arts
Ramabai Ambedkar Kanya Madyamic Vidyalaya And Uccha Madyamic Vidyalaya Nashik (Marathi Medium) (Self Finance),38.2,Nashik,Arts
G D Sawant Senior And Shri Siddhivinayak Jr Arts Comm Sci And Bcs Mahavidyalay (Marathi Medium) (Unaided),37.8,Nashik,Arts
S K Pande Sec Vidya And Ju College Chehedi (Marathi Medium) (Unaided),37.8,Nashik,Arts
Gargi Junior College (Marathi Medium) (Self Finance),37.6,Nashik,Arts
Y D Bytco Girls High School And Jr College Nashik (Marathi Medium) (Aided),37.2,Nashik,Arts
K V N Naik Arts Com And Science College Canada Corner Nashik (Marathi Medium) (Unaided),37.2,Nashik,Arts
Janta Vidyalay V Junior College Satpur (Marathi Medium) (Aided),37.2,Nashik,Arts
Arts Commerce And Science Jr College Nashik Road (Marathi Medium) (Aided),37,Nashik,Arts
Unnati Secondary And Hig Secondary School Nashik (Marathi Medium) (Self Finance),36.8,Nashik,Arts
K J Mehta Highschool And E Y Fadol Jr College Nashik Road (Marathi Medium) (Aided),36.6,Nashik,Arts
S M R K B K A K Mahila Mahavidhyalay Nashik (Marathi Medium) (Aided),36.2,Nashik,Arts
Hpt Arts And Ryk Science Junior College College Road Nashik (Marathi Medium) (Aided),36.2,Nashik,Arts
Bhonsala Military College Nashik (Marathi Medium) (Aided),36,Nashik,Arts
Anand Maharaj Arts Comm And Sci College Manurgaon Manurgaon Phata Nandur Naka Nashik Road (Marathi Medium) (Unaided),36,Nashik,Arts
Sukhdev Madhaymik Vidyamandir And Junior College (Marathi Medium) (Unaided),36,Nashik,Arts
Loknete Vyankatrao Hiray Kanisth Mahavidhyalay Panchavati Panchavati College (Marathi Medium) (Aided),36,Nashik,Arts
D N Patil Madhyamik Vidyalay And Junior College Gangapur Gaon Nashik (Marathi Medium) (Aided),36,Nashik,Arts
K S K W Arts Sci And Comm College Cidco (Marathi Medium) (Unaided),36,Nashik,Arts
K T H M College Gangapur Raod (Marathi Medium) (Aided),35.6,Nashik,Arts
Shriram Vidhyalay And Junior College (Marathi Medium) (Aided),35.4,Nashik,Arts
,,,
"Association Urdu Jr College Pathan Chowk ,Amravati (Urdu Medium) (Aided)",58.2,Amravati,Arts
"Vidyabharati Science College,Amravati (Marathi Medium) (Aided)",50.2,Amravati,Arts
Govt. Vidarbha Institute Of Science And Humanities V.M.V. Road Amravati (English Medium) (Aided),46,Amravati,Arts
"Z.P.[Ex.Govt.]Urdu Girls Junior College,Camp,Amravati (Urdu Medium) (Aided)",43.4,Amravati,Arts
"Nida Urdu Art & Science Jr.College Amar Nagar,Amravati (Urdu Medium) (Self Finance)",42.4,Amravati,Arts
"Smt Kesharbai Lahoti Mahavidyalaya,Shivaji Nagar,Morshi Road,Panchvati ,Amravati (Marathi Medium) (Aided)",42.4,Amravati,Arts
Assiciation Urdu Jr College Badnera Rly (Urdu Medium) (Unaided),41.6,Amravati,Arts
"Bhagyashri Higher Secondary School,Surbhi Vihar V.M.V. Area Amravati (Marathi Medium) (Unaided)",41,Amravati,Arts
"Marium Urdu Jr.College Arts,Nalsebpura, Amravati (Urdu Medium) (Unaided)",40.8,Amravati,Arts
"Nutan Kannya Shala &Junior College,Jog;Chowk,Amravati (Marathi Medium) (Aided)",40.8,Amravati,Arts
Mahheshwari Vidya.& Jr.College Amravati (Marathi Medium) (Aided),40.4,Amravati,Arts
"Gandhi Jr.College,Badnera (Marathi Medium) (Aided)",40.4,Amravati,Arts
Sindhi Hindi Hr Sec School Rampuri Camp Krushana Nagar Amravati (Hindi Medium) (Aided),40,Amravati,Arts
"Shiram Higher Sec. School,Wadali, Amravati. (Marathi Medium) (Unaided)",39.8,Amravati,Arts
"Smt Stk Gujrati Jr College Of Manibai Gujrati High School, Ambapath, Amravati (Hindi Medium) (Aided)",39.4,Amravati,Arts
Shri Ramkrishna Kreeda Junior College Amravati (Marathi Medium) (Aided),39.4,Amravati,Arts
"Arts,Comm.& Science,College, Kiran Nagar,Amravati (English Medium) (Unaided)",39.4,Amravati,Arts
"Mathoshree Vimalabai Deshmukh Jr.Collge,Shivaji Nagar,Amravati (Marathi Medium) (Aided)",39,Amravati,Arts
"Dr.Babasaheb Ambedkar Mahavidya,Amravati (Marathi Medium) (Aided)",38.8,Amravati,Arts
Govt. Vidarbha Institute Of Science And Humanities V.M.V. Road Amravati (Hindi Medium) (Aided),38.8,Amravati,Arts
Govt. Vidarbha Institute Of Science And Humanities V.M.V. Road Amravati (Marathi Medium) (Aided),38.6,Amravati,Arts
Matoshri Savitribai Fule Higher Sec.School Amravati (Marathi Medium) (Aided),37.8,Amravati,Arts
"Arts Jr.College,Badnera Rly (Marathi Medium) (Aided)",37.6,Amravati,Arts
"Takshashila Mahavidyalaya,Shyam Nagar,Amravati (Marathi Medium) (Aided)",37,Amravati,Arts
"Matoshriramabai Ambedkar Jr.College Shamnagar, Amravati (Marathi Medium) (Aided)",37,Amravati,Arts
"Bharatiya Mahavidyalaya, Amravati (Marathi Medium) (Aided)",36.8,Amravati,Arts
"Arts And Commerence Jr.College,Chaitanya Colony,Amravati (Marathi Medium) (Aided)",36.8,Amravati,Arts
"Smt Kesharbai Lahoti Mahavidyalaya,Shivaji Nagar,Morshi Road,Panchvati ,Amravati (Hindi Medium) (Aided)",36.8,Amravati,Arts
"Arts,Comm.& Science,College, Kiran Nagar,Amravati (Marathi Medium) (Unaided)",36.6,Amravati,Arts
"Niyaji Urdu High School & Arts Jr.College Habib Nagarv.M.V.Road,Amravati (Urdu Medium) (Unaided)",36.6,Amravati,Arts
"R.D.I.K.Mahavidyalaya, Badnera (Marathi Medium) (Aided)",36.4,Amravati,Arts
"Shri Shivaji Arts & Commerce College Morshi Road ,Amravati (Marathi Medium) (Aided)",36.4,Amravati,Arts
"Mahila Mahavidya,Jog Chowk,Amravati (Marathi Medium) (Aided)",36.2,Amravati,Arts
Shri Gajanan Maharaj Jr.College New Congress Nagar Amravati (Marathi Medium) (Aided),36.2,Amravati,Arts
"Sharada Kanya School & Hr.Sec School Hsc Voc New Ganesh Colony Near Dremz Park ,Amravati (Marathi Medium) (Aided)",35.2,Amravati,Arts
"Indirabai Meghe Mahavidyalaya,Amtavati (Marathi Medium) (Aided)",35.2,Amravati,Arts
,,,
"Defence Career Jr College, Harsul Aurangabad (Marathi Medium) (Self Finance)",73.4,Aurangabad,Arts
"Dnyan Prabodini Higher Secondary School,Chikalthana ,Tq & Dist Aurangabad 431007 (Marathi Medium) (Unaided)",63,Aurangabad,Arts
"Sir Sayyad Junior College Times Colony, Aurangabad. 431001 Tq & Dist Aurangabad (Urdu Medium) (Aided)",59.2,Aurangabad,Arts
"Dr Rafiq Zakaria College For Women Jubli Park, Navkhanda , Aurangabad. 431001 Tq & Dist Aurangabad (Urdu Medium) (Aided)",57.4,Aurangabad,Arts
"Fatema Girl'S Jr.College, Qaisar Colony Aurangabad. 431001 Tq & Dist Aurangabad (Urdu Medium) (Aided)",55.8,Aurangabad,Arts
"A.K. Patel Marathi Jr College, Satara(Kh), Aurangabad (Marathi Medium) (Self Finance)",55,Aurangabad,Arts
"Dr.Zakir Hussain Junior College, Shahaganj Aurangabad 431001 Dist.Aurangabad (Urdu Medium) (Aided)",54.2,Aurangabad,Arts
"Maulana Azad College Of Arts,Science & Commerce Roza Bagh Aurangabad 431001, Tq & Dist Aurangabad (Urdu Medium) (Aided)",53,Aurangabad,Arts
New High School & Higher Secondary School Harsul Tq Aurangabad Dist Aurangabad (Marathi Medium) (Aided),51.4,Aurangabad,Arts
Sant Meera Higher Secondery School N Three Cidco Aurangabad (Marathi Medium) (Aided),51.2,Aurangabad,Arts
"Navkar Jr College Of Arts Comm And Science, Mitmita, Aurangabad (Marathi Medium) (Self Finance)",50.6,Aurangabad,Arts
"Iqra Boys' Jr College, New S T Colony, Aurangabad, Tq. Dist Aurangabad 431001 (Urdu Medium) (Unaided)",49.8,Aurangabad,Arts
Al Madani Urdu Junior Collage Arts Commeres And Sci (Urdu Medium) (Self Finance),49.8,Aurangabad,Arts
Aurangabad Public Jr. College (Marathi Medium) (Self Finance),49.2,Aurangabad,Arts
"Shri Shivaji Junior College,Khokadpura, Shivajinagar, Aurangabad 431001 Tq & Distaurangabad (Marathi Medium) (Aided)",49,Aurangabad,Arts
"Moin Ul Uloom Higher Secondary School, Silk Mill Colony, Aurangabad 431010 (Urdu Medium) (Unaided)",47.8,Aurangabad,Arts
"Nirmal Jr. College , Harsul, N 11,Opp. Jail,Hudco,Aurangaba Tq & Dist Aurangabad 431008 (Marathi Medium) (Unaided)",46.4,Aurangabad,Arts
"P.D.Jawalkar Higher Secondary School,Sangramnagar, Satara Parisar Aurangabad (Marathi Medium) (Unaided)",43.4,Aurangabad,Arts
Dr Sow I B P Mahavidyalaya Aurangabad (Marathi Medium) (Aided),43.4,Aurangabad,Arts
"Nalanda Junior College Of Arts & Commerce , Ramanagar, Aurangabad 431005 Tq & Dist.Aurangabad (Marathi Medium) (Aided)",43.4,Aurangabad,Arts
"Habiba Jr College, Jaswantpura Ta Dist Aurangabad 431001 (Urdu Medium) (Unaided)",43.4,Aurangabad,Arts
"Maulana Azad Junior College, Town Hall, Aurangabad Dist.Aurangabad 431001 (Urdu Medium) (Aided)",43.2,Aurangabad,Arts
"Bhartiya Hr.Sec.School ,N 11 Hudco Aurangabad Tq & Dist.Aurangabad 431003 (Marathi Medium) (Aided)",43.2,Aurangabad,Arts
"Al Huda Urdu Juniior College, Baijipura (Urdu Medium) (Unaided)",42.6,Aurangabad,Arts
New High School & Higher Secondary School Chikalthana Airport 431007 Tq Aurangabad Dist Aurangabad (Marathi Medium) (Aided),42.4,Aurangabad,Arts
Nagsen Secondary And Higher Secondary School (Marathi Medium) (Aided),42.4,Aurangabad,Arts
"Smt Venutai Chavan Girls Higher Secondary School N 8 Cidco, Aurangabad Tq & Dist Aurangabad 431003 (Marathi Medium) (Aided)",42.2,Aurangabad,Arts
Vasantrao Naik Mahavidyalaya Chikalthana Road Aurangabad (Marathi Medium) (Aided),41.8,Aurangabad,Arts
"Jijamata Mahila'S Arts & Commerce Junior College ,Cidco, Gulmohar Colony Aurangabad.431003 Tq & Dist.Aurangabad (Marathi Medium) (Aided)",41.8,Aurangabad,Arts
"Deogiri College ,Aurangabad 431005, Tq & Dist Aurangabad (Marathi Medium) (Aided)",41.6,Aurangabad,Arts
"Shri Vyanktesh Junior College, N 02 , Thakare Nagar , Cidco 431006, Aurangabad. Tq & Dist.Aurangabad (Marathi Medium) (Unaided)",41.4,Aurangabad,Arts
"Govt.College Of Arts & Science, Aurangabad 431001 Dist Aurangabad (Marathi Medium) (Aided)",41.4,Aurangabad,Arts
"Dharmveer Sambhaji Jr.College, Cidco N 5 (South) Aurangabad.431003 Tq & Dist.Aurangabad (Marathi Medium) (Aided)",41.2,Aurangabad,Arts
"Late Kalavati Chavan Higher Secondary Vidyalaya,Satara Parisar, Aurangabad. 431010 Tq & Distaurangabad (Marathi Medium) (Unaided)",40.8,Aurangabad,Arts
"Shri Balaji Jr.College, Chikalthana Air Port, Tq.& Dist Aurangabad 431007 (Marathi Medium) (Unaided)",40.6,Aurangabad,Arts
"Dnyansagar Higher Secondary School,Hudco,N 13,Jatwada Road, Aurangabad 431003 (Marathi Medium) (Unaided)",40.4,Aurangabad,Arts
"Patel Jr. College , Shahanagar, Beed By Pass, Aurangabad 431010 (Marathi Medium) (Unaided)",40.4,Aurangabad,Arts
"Padmshri Vasantdada Patil Jr.College Vithal Nagar, N 2 Cidco, Aurangabad.431006 Tq & Dist.Aurangabad (Marathi Medium) (Aided)",40.2,Aurangabad,Arts
"Pragati Higher Secondary School, Padegaon Tq Dist Aurangabad 431002 (Marathi Medium) (Unaided)",40.2,Aurangabad,Arts
"Nutan Bahuudheshiya Higher Secondary School ,Hudco,N 11 New Aurangabad Tq Dist Aurangabad 431003 (Marathi Medium) (Unaided)",39.8,Aurangabad,Arts
Rashtriya Higher Secondary School (Marathi Medium) (Aided),39.6,Aurangabad,Arts
"Maulana Azad College Of Arts,Science & Commerce Roza Bagh Aurangabad 431001, Tq & Dist Aurangabad (Urdu Medium) (Unaided)",39.4,Aurangabad,Arts
"Renuka Higher Secondary Vidyalaya, Satara Parisar, Aurangabad 431010 (Marathi Medium) (Unaided)",39.2,Aurangabad,Arts
"Rajarshi Shahu Maharaj Junior College,Vivekanandnagar,Satara Parisar, Aurangabad. 431010 (Marathi Medium) (Unaided)",39,Aurangabad,Arts
"Jai Bhavani Vidya Mandir Jr.College, Jai Vishwa Bharati Colony , Aurangabad.431005 Tq & Dist.Aurangabad (Marathi Medium) (Aided)",39,Aurangabad,Arts
"Dr.Babasaheb Ambedkar Arts & Commerce College, Nagsen Vana Aurangabad 431002 Tq & Distaurangabad (Marathi Medium) (Aided)",39,Aurangabad,Arts
"Parwati Girl'S Higher Secondary School Hudco, Aurangabad Tq & Dist.Aurangabad 431003 (Marathi Medium) (Aided)",38.6,Aurangabad,Arts
"Sbes College Of Arts & Commerce Aurangabad 431001, Tq & Dist Aurangabad (Marathi Medium) (Aided)",38.6,Aurangabad,Arts
"Sudhakarrao Naik Higher Secondary School, Hanumannagar, Garkheda Parisar, Aurangabad.431009 Tq & Dist.Aurangabad (Marathi Medium) (Aided)",38.4,Aurangabad,Arts
Qamer Urdu Junior College Rozabagh Muzaffar Nagar Aurangabad (Urdu Medium) (Unaided),38.4,Aurangabad,Arts
"Shiv Chhatrapati Mahavidyalaya Cidco, N 3, Aurangabad.431003 Tq & Dist Aurangabad (Marathi Medium) (Unaided)",38.2,Aurangabad,Arts
"Milind College Of Arts Nagsen Vana, Aurangabad 431002 Tq & Dist Aurangabad (Marathi Medium) (Aided)",38,Aurangabad,Arts
"Modern Girl'S Higher Secondary School , Garkheda, Aurangabad , Tq & Dist.Aurangabad 431009 (Marathi Medium) (Aided)",38,Aurangabad,Arts
"S.N.D.T. Jr.College , Beed Bypass, Aurangabad 4310 Tq & Distaurangabad (Marathi Medium) (Aided)",37.8,Aurangabad,Arts
"Hamidia Urdu Jr College Of Arts, Kiradpura Aurangabad 431001 (Urdu Medium) (Unaided)",37.6,Aurangabad,Arts
"Pandit Jawaharlal Nehru Mahavidyalaya, Shivajinagar E Sector, Garkheda Parisar, Aurangabad 431009 (Marathi Medium) (Aided)",37.6,Aurangabad,Arts
"Higher Secondary School ,Dewlai, Beed By Pass Road ,Aurangabad.431010 Tq & Dist Aurangabad (Marathi Medium) (Aided)",37.6,Aurangabad,Arts
"Meharsingh Arts & Commerce Junior College , Aurangabad Tq & Dist Aurangabad 431005 (Marathi Medium) (Aided)",37.6,Aurangabad,Arts
"Godavari Junior College, Hudco N 12, Aurangabad Tq & Dist.Aurangabad 431003 (Marathi Medium) (Aided)",36.8,Aurangabad,Arts
"Indira Gandhi Urdu Girls Hr.Secondary School, Sabji Mandi Sillekhana, Tq,Dist.Aurangabad 431001 (Urdu Medium) (Aided)",36.6,Aurangabad,Arts
"Indira Gandhi Girl'S Higher Secondary School Osmanpura, Shahanoorwadi Aurangabad.431005 Tq & Dist Aurangabad (Urdu Medium) (Aided)",36.6,Aurangabad,Arts
"Talat Jr.Arts College, Kabadipura Tq & Dist.Aurangabad 431001 (Urdu Medium) (Aided)",36.6,Aurangabad,Arts
"Govt.College Of Arts & Science, Aurangabad 431001 Dist Aurangabad (English Medium) (Aided)",36.4,Aurangabad,Arts
R Y P Urdu Junior College Of Arts And Science (Urdu Medium) (Unaided),36.4,Aurangabad,Arts
Vivekanand Arts Sardar Dalipsingh Commerce And Science College Aurangabad (Marathi Medium) (Aided),35.8,Aurangabad,Arts
"A.K. Patel Urdu Jr College, Satara(Kh), Aurangabad (Urdu Medium) (Self Finance)",35.4,Aurangabad,Arts
Shri Babanrao Dhakane Junior College Chikalthana Tq. & Dist.Aurangabad 431007 (Marathi Medium) (Aided),35.2,Aurangabad,Arts
,,,
"R. A. Podar College Of Comm. & Economics, Matunga (Cr) (English Medium) (Aided)",92.4,Mumbai,Commerce
"V. G. Vaze College Of Arts Sci And Commerce, Mithagar Road, Mulund (East). (English Medium) (Aided)",90,Mumbai,Commerce
Narsee Monjee College Of Com & Eco (English Medium) (Aided),90,Mumbai,Commerce
Mulund College Of Commerce (English Medium) (Aided),89.4,Mumbai,Commerce
"Mithibai College,Vile Parle (West), Mumbai. (English Medium) (Aided)",87.2,Mumbai,Commerce
"D. G. Ruparel College Of Arts,Sci & Comm., Mahim, Mumbai. (English Medium) (Aided)",87,Mumbai,Commerce
"M. L. Dahanukar College Of Commerce, Vile Parle (East), Mumbai. (English Medium) (Aided)",87,Mumbai,Commerce
"Sies Junior College Of Commerce, Nerul (English Medium) (Permanent Unaided)",86,Mumbai,Commerce
K.G.Joshi College Arts & N.G.Bedekar College Commerce Thane West (English Medium) (Aided),85.8,Mumbai,Commerce
"Sathaye College Of Arts, Com & Sci (English Medium) (Aided)",84.4,Mumbai,Commerce
K.G.Joshi College Arts & N.G.Bedekar College Commerce Thane West (English Medium) (Unaided),83.6,Mumbai,Commerce
"Jai Hind College Basantsing Institute Of Science J T Lalvani College Of Commerce, Churchgate (West) (English Medium) (Aided)",83.2,Mumbai,Commerce
S. S. & L. S. Patkar College Goregaon West (English Medium) (Aided),83.2,Mumbai,Commerce
H.R.College Of Comm.& Eco. Churchgate Mumbai (English Medium) (Aided),83,Mumbai,Commerce
"K. J. Somaiya Jr. College Of Arts & Commerce Vidyavihar, Mumbai 77 (English Medium) (Aided)",82.8,Mumbai,Commerce
"Bhavan'S College Of Arts, Com & Sci. Andheri West (English Medium) (Aided)",82.8,Mumbai,Commerce
"S. E. S. High School & Jr Collegepanchpakhadi, Thane (West). (English Medium) (Aided)",82.6,Mumbai,Commerce
K. J. Somaiya College Of Science & Comm. Vidyavihar (English Medium) (Aided),82.6,Mumbai,Commerce
Sies College Of Commerce & Economics Sion (English Medium) (Aided),82.2,Mumbai,Commerce
"Vasant Vihar High School & Jr. College, Thane (West). (English Medium) (Permanent Unaided)",81.8,Mumbai,Commerce
"Royal College Of Arts, Science & Commerce, Penkar Pada, Mira Road (E) (English Medium) (Aided)",81.6,Mumbai,Commerce
Smt. Gpp And Acharya A V Patel Jr College Vile Parle West (English Medium) (Permanent Unaided),81.6,Mumbai,Commerce
Kishinchand Chellaram College (K. C. College) Churcugate. (English Medium) (Unaided),81.6,Mumbai,Commerce
Kishinchand Chellaram College (K. C. College) Churcugate. (English Medium) (Aided),81.4,Mumbai,Commerce
"Father Agnel Multipurpose School And Jr College, Vashi, Navi Mumbai. (English Medium) (Permanent Unaided)",81.4,Mumbai,Commerce
"St. Mary'S Junior College, Vashi , Navi Mumbai. (English Medium) (Permanent Unaided)",81.4,Mumbai,Commerce
"K. J. Somaiya Jr. College Of Arts & Commerce Vidyavihar, Mumbai 77 (English Medium) (Self Finance)",81,Mumbai,Commerce
Shailendra Edu. Soc'S Secondary School & Jr. College (English Medium) (Aided),80,Mumbai,Commerce
"B K Birla College Of Arts, Science & Commerce, Kalyan (W). (English Medium) (Aided)",79.8,Mumbai,Commerce
Bharati Vidyapeeth Prashala Jr College Cbd (English Medium) (Aided),79.6,Mumbai,Commerce
"Sydenham College Of Commerce & Economics, Churchgate. (English Medium) (Government)",79.2,Mumbai,Commerce
"K. E. S. Jr. College Of Arts & Com, Kandivali (West) (English Medium) (Aided)",79,Mumbai,Commerce
"B K Birla College Of Arts, Science & Commerce, Kalyan (W). (English Medium) (Self Finance)",78.6,Mumbai,Commerce
"S. K. Somaiya Vinay Mandir High School And Jr College, Vidhavihar. (English Medium) (Aided)",77.8,Mumbai,Commerce
St Andrew'S College Of Arts Sci & Com (English Medium) (Aided),77.6,Mumbai,Commerce
"Guru Nanak Khalsa College Of Arts Science And Commerce, Matunga (East), Mumbai. (English Medium) (Aided)",77.4,Mumbai,Commerce
"Ramniranjan Jhunjhunwala College, Ghatkopar (W). (English Medium) (Aided)",77.4,Mumbai,Commerce
"Smt.Chm College, Ulhasnagar 3. (English Medium) (Aided)",76.8,Mumbai,Commerce
"Vasant Vihar High School & Jr. College, Thane (West). (English Medium) (Self Finance)",76.8,Mumbai,Commerce
"Bhavan'S College Of Arts, Com & Sci. Andheri West (English Medium) (Permanent Unaided)",76.6,Mumbai,Commerce
"R. F. Naik Vidyalya Secondary & Higher Secondary School, Sector 8, Koparkhairne, Navi Mumbai. (English Medium) (Aided)",76.2,Mumbai,Commerce
"K. V. Pendharkar Junior College, Dombivali(East). (English Medium) (Aided)",74.8,Mumbai,Commerce
"Dnyanpushpa Vidya Niketan And Jr College, Sector 04, Cbd Belapur, Navi Mumbai. (English Medium) (Permanent Unaided)",74.8,Mumbai,Commerce
Valia Junior College Of Arts Science And Commerce (English Medium) (Aided),74,Mumbai,Commerce
"K.E.S. V.K. High School & Jr. College, Panvel (English Medium) (Aided)",74,Mumbai,Commerce
"Mahatma Education Societys High School & Jr. College, Khanda Colony, New Panvel (English Medium) (Aided)",73.8,Mumbai,Commerce
"Kirti M Doongursee College, Kashinath Dhuru Road, Dadar (W), Mumbai. (English Medium) (Aided)",73.4,Mumbai,Commerce
"M.H. Marathi Highschool Shivaji Path, Thane (W) (English Medium) (Self Finance)",73,Mumbai,Commerce
"Pragati College ( Arts And Commerce ), Datta Nagar, Dombivali (East). (English Medium) (Aided)",72.8,Mumbai,Commerce
Durgadevi Saraf Jr College Malad West (English Medium) (Aided),72.2,Mumbai,Commerce
South Indian Secondary And Higher Sec. School Shastri Nagar Dombivli West (English Medium) (Aided),72,Mumbai,Commerce
Model College Dombivli East (English Medium) (Aided),71.8,Mumbai,Commerce
"Shri. Bhausaheb Vartak Arts, Com. & Sci. College, Borivali (West). (English Medium) (Aided)",71.8,Mumbai,Commerce
L.S. Raheja College Of Arts & Commerce (English Medium) (Aided),71.6,Mumbai,Commerce
"Smt.Chm College, Ulhasnagar 3. (English Medium) (Unaided)",71.6,Mumbai,Commerce
"St. Francis D'Assisi High School & Jr College, Borivli (West). (English Medium) (Aided)",71.4,Mumbai,Commerce
Valia Junior College Of Arts Science And Commerce (English Medium) (Permanent Unaided),71.4,Mumbai,Commerce
"Ramniranjan Jhunjhunwala College, Ghatkopar (W). (English Medium) (Permanent Unaided)",71.2,Mumbai,Commerce
"Satish Pradhan Dnyanasadhana College Thane Arts Science And Commerce, Thane (W). (English Medium) (Aided)",71,Mumbai,Commerce
"Sarswati Vidyalaya & Jr College Sci And Com, Ghodbunder Road, Thane (West). (English Medium) (Permanent Unaided)",71,Mumbai,Commerce
Model College Dombivli East (English Medium) (Unaided),71,Mumbai,Commerce
"New Kalwa High School And Jr College, Kalwa (W). (English Medium) (Aided)",70.8,Mumbai,Commerce
"Changu Kana Thakur Secondary & Higher Secondary Vidyalaya, New Panvel. (Marathi Medium) (Aided)",70.8,Mumbai,Commerce
Bharatiya Vidya Bhavan'S H. S. College Of Arts & Science (Bhavans College) (English Medium) (Aided),70.6,Mumbai,Commerce
S.E.S. Banthiya Mady. N N Paliwala Jr College New Panvel (English Medium) (Self Finance),70.6,Mumbai,Commerce
"Icles'S Motilal Jhunjhunwala College, Vashi (English Medium) (Aided)",70.4,Mumbai,Commerce
"Yojana Vidyalaya Jr. College, Near Tata Power House, Borivali (E) (English Medium) (Aided)",70.4,Mumbai,Commerce
"Adarsh Vidyamandir Higher Secondary, Kulgaon (English Medium) (Aided)",70.2,Mumbai,Commerce
"Elphinstone College, Fort, Mumbai. (English Medium) (Government)",70.2,Mumbai,Commerce
"Vani Vidyalaya & Jr. College, Mulund (W) (English Medium) (Aided)",69.8,Mumbai,Commerce
New Girls School And Junior College Thane (English Medium) (Aided),69.4,Mumbai,Commerce
Sss Multipurpose Technical High School Junior College (English Medium) (Aided),68.8,Mumbai,Commerce
"Tolani College Of Commerce, Andheri (East), Mumbai. (English Medium) (Aided)",68.8,Mumbai,Commerce
"Tolani College Of Commerce, Andheri (East), Mumbai. (English Medium) (Permanent Unaided)",68.8,Mumbai,Commerce
"Swami Vivekanand High School & Jr College, Chembur (English Medium) (Aided)",68.6,Mumbai,Commerce
